season,model week,location,target,type,entry,score,competition_week
2018/2019,MW66,US National,Season peak week,Bin,Delphi-Epicast2,-0.006201004732549295,25
2018/2019,MW67,US National,Season peak week,Bin,Delphi-Epicast2,-0.031396854060672726,26
2018/2019,MW68,US National,Season peak week,Bin,Delphi-Epicast2,-0.03139685415448075,27
2018/2019,MW42,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-1.1379040151485003,1
2018/2019,MW43,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-1.093070934383933,2
2018/2019,MW44,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-1.0580063527261923,3
2018/2019,MW45,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.9750443716175131,4
2018/2019,MW46,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.7687454487941098,5
2018/2019,MW47,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.8828116390307006,6
2018/2019,MW48,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.9901637015642566,7
2018/2019,MW49,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-1.0987969804764668,8
2018/2019,MW50,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.5450187984844503,9
2018/2019,MW51,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-1.088113982068705,10
2018/2019,MW52,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-1.055396357389031,11
2018/2019,MW53,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-1.075231156127314,12
2018/2019,MW54,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-1.7043457931204276,13
2018/2019,MW55,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-1.531538893277564,14
2018/2019,MW56,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.26954225633475554,15
2018/2019,MW57,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.26954225633475554,16
2018/2019,MW58,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.36057541144543415,17
2018/2019,MW59,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.3620391796900676,18
2018/2019,MW60,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.30631462619239536,19
2018/2019,MW61,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.21211127400016114,20
2018/2019,MW62,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.2255746945504656,21
2018/2019,MW63,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.19705343918812288,22
2018/2019,MW64,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.24796315387292073,23
2018/2019,MW65,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.23852554432868972,24
2018/2019,MW66,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.23592801627840418,25
2018/2019,MW67,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.2604350744930757,26
2018/2019,MW68,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.24900572795305376,27
2018/2019,MW69,HHS Region 1,Season peak week,Bin,Delphi-Epicast2,-0.2535126033577974,28
2018/2019,MW42,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-1.262463028128043,1
2018/2019,MW43,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-1.2316877697940112,2
2018/2019,MW44,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-1.333224803951429,3
2018/2019,MW45,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-1.0133925243918018,4
2018/2019,MW46,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-1.1461493049169384,5
2018/2019,MW47,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-1.1676687837279607,6
2018/2019,MW48,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-1.2968721309818667,7
2018/2019,MW49,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-0.9595436213086694,8
2018/2019,MW50,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-1.062264990538161,9
2018/2019,MW51,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-1.1314493993397168,10
2018/2019,MW52,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-1.1255025674371315,11
2018/2019,MW53,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-1.9184657714931963,12
2018/2019,MW54,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-3.279647006593007,13
2018/2019,MW55,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-1.155525242158652,14
2018/2019,MW56,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-1.1710231868007701,15
2018/2019,MW57,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-1.1710231868007701,16
2018/2019,MW58,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-1.0572872498964765,17
2018/2019,MW59,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-0.24934443540732978,18
2018/2019,MW60,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-0.45507181288462156,19
2018/2019,MW61,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-0.46896092542867335,20
2018/2019,MW62,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-0.4546468161781326,21
2018/2019,MW63,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-0.44760498877516447,22
2018/2019,MW64,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-0.4069957658020939,23
2018/2019,MW65,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-0.3499839561779754,24
2018/2019,MW66,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-0.37798061623563894,25
2018/2019,MW67,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-0.39789517510470207,26
2018/2019,MW68,HHS Region 2,Season peak week,Bin,Delphi-Epicast2,-0.36911113812006613,27
2018/2019,MW42,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-1.4774646575431085,1
2018/2019,MW43,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-1.2629295568127863,2
2018/2019,MW44,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-1.2239247654717236,3
2018/2019,MW45,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-1.1496286174440937,4
2018/2019,MW46,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-1.111759350476305,5
2018/2019,MW47,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-1.1205736981350978,6
2018/2019,MW48,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-1.4403124343191547,7
2018/2019,MW49,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-1.1565004186956491,8
2018/2019,MW50,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-1.0833320034219407,9
2018/2019,MW51,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-1.4433265232388133,10
2018/2019,MW52,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-1.6045230832414328,11
2018/2019,MW53,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-1.0326767467309663,12
2018/2019,MW54,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-1.4428947871292186,13
2018/2019,MW55,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-1.0754157947722494,14
2018/2019,MW56,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-1.270381543431057,15
2018/2019,MW57,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-1.270381543431057,16
2018/2019,MW58,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-0.33761457618769974,17
2018/2019,MW59,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-0.23624234551088974,18
2018/2019,MW60,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-0.009275745939023663,19
2018/2019,MW61,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-0.0063789541096476035,20
2018/2019,MW62,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-0.006224640718523408,21
2018/2019,MW63,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-0.43856702844055073,22
2018/2019,MW64,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-0.007808988046442957,23
2018/2019,MW65,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-0.007285557526578434,24
2018/2019,MW66,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-0.006307964798784489,25
2018/2019,MW67,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-0.03140897078639683,26
2018/2019,MW68,HHS Region 3,Season peak week,Bin,Delphi-Epicast2,-0.03139686344153517,27
2018/2019,MW42,HHS Region 4,Season peak week,Bin,Delphi-Epicast2,-1.3058551796514717,1
2018/2019,MW43,HHS Region 4,Season peak week,Bin,Delphi-Epicast2,-1.0332158202197,2
2018/2019,MW44,HHS Region 4,Season peak week,Bin,Delphi-Epicast2,-1.0565633269065322,3
2018/2019,MW45,HHS Region 4,Season peak week,Bin,Delphi-Epicast2,-1.0074798387567603,4
2018/2019,MW46,HHS Region 4,Season peak week,Bin,Delphi-Epicast2,-1.0679889336108253,5
2018/2019,MW47,HHS Region 4,Season peak week,Bin,Delphi-Epicast2,-1.0180482899141972,6
2018/2019,MW48,HHS Region 4,Season peak week,Bin,Delphi-Epicast2,-0.8024304532224715,7
2018/2019,MW49,HHS Region 4,Season peak week,Bin,Delphi-Epicast2,-0.7747732025642493,8
2018/2019,MW50,HHS Region 4,Season peak week,Bin,Delphi-Epicast2,-0.6350401968319903,9
2018/2019,MW51,HHS Region 4,Season peak week,Bin,Delphi-Epicast2,-0.738315243370313,10
2018/2019,MW52,HHS Region 4,Season peak week,Bin,Delphi-Epicast2,-0.64987926877601,11
2018/2019,MW53,HHS Region 4,Season peak week,Bin,Delphi-Epicast2,-0.787885579425214,12
2018/2019,MW54,HHS Region 4,Season peak week,Bin,Delphi-Epicast2,-2.5901207573014795,13
2018/2019,MW55,HHS Region 4,Season peak week,Bin,Delphi-Epicast2,-2.5142089563574923,14
2018/2019,MW56,HHS Region 4,Season peak week,Bin,Delphi-Epicast2,-0.5390446916826932,15
2018/2019,MW57,HHS Region 4,Season peak week,Bin,Delphi-Epicast2,-0.5390446916826932,16
