season,model week,location,target,type,entry,score,competition_week
2018/2019,MW48,HHS Region 4,Season peak week,Bin,Delphi-Stat,-1.2552845130429864,7
2018/2019,MW49,HHS Region 4,Season peak week,Bin,Delphi-Stat,-1.3002724733177586,8
2018/2019,MW50,HHS Region 4,Season peak week,Bin,Delphi-Stat,-1.2048294809078952,9
2018/2019,MW51,HHS Region 4,Season peak week,Bin,Delphi-Stat,-1.3344783547882382,10
2018/2019,MW52,HHS Region 4,Season peak week,Bin,Delphi-Stat,-1.266133412335611,11
2018/2019,MW53,HHS Region 4,Season peak week,Bin,Delphi-Stat,-1.239611291047413,12
2018/2019,MW54,HHS Region 4,Season peak week,Bin,Delphi-Stat,-1.568076632641768,13
2018/2019,MW55,HHS Region 4,Season peak week,Bin,Delphi-Stat,-1.5690934987146918,14
2018/2019,MW56,HHS Region 4,Season peak week,Bin,Delphi-Stat,-0.6623750656520754,15
2018/2019,MW57,HHS Region 4,Season peak week,Bin,Delphi-Stat,-0.10846946551535874,16
2018/2019,MW58,HHS Region 4,Season peak week,Bin,Delphi-Stat,-0.09327111675784135,17
2018/2019,MW59,HHS Region 4,Season peak week,Bin,Delphi-Stat,-0.10008027339153937,18
2018/2019,MW60,HHS Region 4,Season peak week,Bin,Delphi-Stat,-0.03387074088370405,19
2018/2019,MW61,HHS Region 4,Season peak week,Bin,Delphi-Stat,-0.023934303884579074,20
2018/2019,MW62,HHS Region 4,Season peak week,Bin,Delphi-Stat,-0.02420394995862821,21
2018/2019,MW63,HHS Region 4,Season peak week,Bin,Delphi-Stat,-0.02487768929782916,22
2018/2019,MW64,HHS Region 4,Season peak week,Bin,Delphi-Stat,-0.022419490204884696,23
2018/2019,MW65,HHS Region 4,Season peak week,Bin,Delphi-Stat,-0.02005343237833923,24
2018/2019,MW66,HHS Region 4,Season peak week,Bin,Delphi-Stat,-0.01995255445650942,25
2018/2019,MW67,HHS Region 4,Season peak week,Bin,Delphi-Stat,-0.01992538034368324,26
2018/2019,MW42,HHS Region 5,Season peak week,Bin,Delphi-Stat,-2.4606741350751817,1
2018/2019,MW43,HHS Region 5,Season peak week,Bin,Delphi-Stat,-2.4457664530818146,2
